/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (2102.79, 6217.37)
    train/valid/test-data-iterators-setup ..........: (78921.49, 82822.24)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration        1/   51900 | consumed samples:         1024 | elapsed time per iteration (ms): 52794.2 | learning rate: 1.000E-07 | global batch size:  1024 | lm loss: 1.172341E+01 | loss scale: 1.0 | grad norm: 39.729 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      928/   51900 | consumed samples:       950272 | elapsed time per iteration (ms): 40387.0 | learning rate: 9.280E-05 | global batch size:  1024 | lm loss: 2.896653E+00 | loss scale: 1.0 | grad norm: 1.074 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      929/   51900 | consumed samples:       951296 | elapsed time per iteration (ms): 40367.9 | learning rate: 9.290E-05 | global batch size:  1024 | lm loss: 2.903639E+00 | loss scale: 1.0 | grad norm: 0.698 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      930/   51900 | consumed samples:       952320 | elapsed time per iteration (ms): 40380.9 | learning rate: 9.300E-05 | global batch size:  1024 | lm loss: 2.913554E+00 | loss scale: 1.0 | grad norm: 0.695 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      931/   51900 | consumed samples:       953344 | elapsed time per iteration (ms): 40384.5 | learning rate: 9.310E-05 | global batch size:  1024 | lm loss: 2.915894E+00 | loss scale: 1.0 | grad norm: 0.714 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      932/   51900 | consumed samples:       954368 | elapsed time per iteration (ms): 40380.0 | learning rate: 9.320E-05 | global batch size:  1024 | lm loss: 2.899982E+00 | loss scale: 1.0 | grad norm: 0.663 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      933/   51900 | consumed samples:       955392 | elapsed time per iteration (ms): 40379.6 | learning rate: 9.330E-05 | global batch size:  1024 | lm loss: 2.886035E+00 | loss scale: 1.0 | grad norm: 0.707 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      934/   51900 | consumed samples:       956416 | elapsed time per iteration (ms): 40375.4 | learning rate: 9.340E-05 | global batch size:  1024 | lm loss: 2.917163E+00 | loss scale: 1.0 | grad norm: 0.721 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      935/   51900 | consumed samples:       957440 | elapsed time per iteration (ms): 40379.0 | learning rate: 9.350E-05 | global batch size:  1024 | lm loss: 2.885872E+00 | loss scale: 1.0 | grad norm: 0.816 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      936/   51900 | consumed samples:       958464 | elapsed time per iteration (ms): 40410.6 | learning rate: 9.360E-05 | global batch size:  1024 | lm loss: 2.917941E+00 | loss scale: 1.0 | grad norm: 1.000 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      937/   51900 | consumed samples:       959488 | elapsed time per iteration (ms): 40387.5 | learning rate: 9.370E-05 | global batch size:  1024 | lm loss: 2.892308E+00 | loss scale: 1.0 | grad norm: 0.869 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      938/   51900 | consumed samples:       960512 | elapsed time per iteration (ms): 40378.6 | learning rate: 9.380E-05 | global batch size:  1024 | lm loss: 2.908180E+00 | loss scale: 1.0 | grad norm: 1.295 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      939/   51900 | consumed samples:       961536 | elapsed time per iteration (ms): 40383.8 | learning rate: 9.390E-05 | global batch size:  1024 | lm loss: 2.914270E+00 | loss scale: 1.0 | grad norm: 1.157 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      940/   51900 | consumed samples:       962560 | elapsed time per iteration (ms): 40376.2 | learning rate: 9.400E-05 | global batch size:  1024 | lm loss: 2.913169E+00 | loss scale: 1.0 | grad norm: 0.790 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      941/   51900 | consumed samples:       963584 | elapsed time per iteration (ms): 40350.0 | learning rate: 9.410E-05 | global batch size:  1024 | lm loss: 2.906850E+00 | loss scale: 1.0 | grad norm: 0.710 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      942/   51900 | consumed samples:       964608 | elapsed time per iteration (ms): 40389.8 | learning rate: 9.420E-05 | global batch size:  1024 | lm loss: 2.923559E+00 | loss scale: 1.0 | grad norm: 1.123 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      943/   51900 | consumed samples:       965632 | elapsed time per iteration (ms): 40381.8 | learning rate: 9.430E-05 | global batch size:  1024 | lm loss: 2.903858E+00 | loss scale: 1.0 | grad norm: 0.809 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      944/   51900 | consumed samples:       966656 | elapsed time per iteration (ms): 40379.9 | learning rate: 9.440E-05 | global batch size:  1024 | lm loss: 2.904618E+00 | loss scale: 1.0 | grad norm: 0.979 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      945/   51900 | consumed samples:       967680 | elapsed time per iteration (ms): 40364.9 | learning rate: 9.450E-05 | global batch size:  1024 | lm loss: 2.929624E+00 | loss scale: 1.0 | grad norm: 1.062 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      946/   51900 | consumed samples:       968704 | elapsed time per iteration (ms): 40365.1 | learning rate: 9.460E-05 | global batch size:  1024 | lm loss: 2.908886E+00 | loss scale: 1.0 | grad norm: 0.884 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      947/   51900 | consumed samples:       969728 | elapsed time per iteration (ms): 40370.8 | learning rate: 9.470E-05 | global batch size:  1024 | lm loss: 2.911002E+00 | loss scale: 1.0 | grad norm: 1.028 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      948/   51900 | consumed samples:       970752 | elapsed time per iteration (ms): 40374.5 | learning rate: 9.480E-05 | global batch size:  1024 | lm loss: 2.909153E+00 | loss scale: 1.0 | grad norm: 0.785 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      949/   51900 | consumed samples:       971776 | elapsed time per iteration (ms): 40387.9 | learning rate: 9.490E-05 | global batch size:  1024 | lm loss: 2.904220E+00 | loss scale: 1.0 | grad norm: 0.825 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      950/   51900 | consumed samples:       972800 | elapsed time per iteration (ms): 40375.6 | learning rate: 9.500E-05 | global batch size:  1024 | lm loss: 2.868091E+00 | loss scale: 1.0 | grad norm: 0.663 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      951/   51900 | consumed samples:       973824 | elapsed time per iteration (ms): 40389.8 | learning rate: 9.510E-05 | global batch size:  1024 | lm loss: 2.896270E+00 | loss scale: 1.0 | grad norm: 0.836 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      952/   51900 | consumed samples:       974848 | elapsed time per iteration (ms): 40388.9 | learning rate: 9.520E-05 | global batch size:  1024 | lm loss: 2.909358E+00 | loss scale: 1.0 | grad norm: 0.689 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      953/   51900 | consumed samples:       975872 | elapsed time per iteration (ms): 40376.5 | learning rate: 9.530E-05 | global batch size:  1024 | lm loss: 2.890024E+00 | loss scale: 1.0 | grad norm: 0.764 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      954/   51900 | consumed samples:       976896 | elapsed time per iteration (ms): 40378.0 | learning rate: 9.540E-05 | global batch size:  1024 | lm loss: 2.883881E+00 | loss scale: 1.0 | grad norm: 0.620 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      955/   51900 | consumed samples:       977920 | elapsed time per iteration (ms): 40384.7 | learning rate: 9.550E-05 | global batch size:  1024 | lm loss: 2.867744E+00 | loss scale: 1.0 | grad norm: 0.561 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      956/   51900 | consumed samples:       978944 | elapsed time per iteration (ms): 40381.8 | learning rate: 9.560E-05 | global batch size:  1024 | lm loss: 2.876495E+00 | loss scale: 1.0 | grad norm: 0.613 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      957/   51900 | consumed samples:       979968 | elapsed time per iteration (ms): 40372.8 | learning rate: 9.570E-05 | global batch size:  1024 | lm loss: 2.879834E+00 | loss scale: 1.0 | grad norm: 0.493 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      958/   51900 | consumed samples:       980992 | elapsed time per iteration (ms): 40376.8 | learning rate: 9.580E-05 | global batch size:  1024 | lm loss: 2.862039E+00 | loss scale: 1.0 | grad norm: 0.443 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      959/   51900 | consumed samples:       982016 | elapsed time per iteration (ms): 40377.7 | learning rate: 9.590E-05 | global batch size:  1024 | lm loss: 2.881294E+00 | loss scale: 1.0 | grad norm: 0.384 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      960/   51900 | consumed samples:       983040 | elapsed time per iteration (ms): 40384.0 | learning rate: 9.600E-05 | global batch size:  1024 | lm loss: 2.861501E+00 | loss scale: 1.0 | grad norm: 0.352 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      961/   51900 | consumed samples:       984064 | elapsed time per iteration (ms): 40373.7 | learning rate: 9.610E-05 | global batch size:  1024 | lm loss: 2.873938E+00 | loss scale: 1.0 | grad norm: 0.494 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      962/   51900 | consumed samples:       985088 | elapsed time per iteration (ms): 40371.2 | learning rate: 9.620E-05 | global batch size:  1024 | lm loss: 2.859065E+00 | loss scale: 1.0 | grad norm: 0.471 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      963/   51900 | consumed samples:       986112 | elapsed time per iteration (ms): 40398.8 | learning rate: 9.630E-05 | global batch size:  1024 | lm loss: 2.865842E+00 | loss scale: 1.0 | grad norm: 0.484 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      964/   51900 | consumed samples:       987136 | elapsed time per iteration (ms): 40376.1 | learning rate: 9.640E-05 | global batch size:  1024 | lm loss: 2.867244E+00 | loss scale: 1.0 | grad norm: 0.429 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      965/   51900 | consumed samples:       988160 | elapsed time per iteration (ms): 40386.7 | learning rate: 9.650E-05 | global batch size:  1024 | lm loss: 2.869006E+00 | loss scale: 1.0 | grad norm: 0.474 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      966/   51900 | consumed samples:       989184 | elapsed time per iteration (ms): 40377.5 | learning rate: 9.660E-05 | global batch size:  1024 | lm loss: 2.856966E+00 | loss scale: 1.0 | grad norm: 0.425 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      967/   51900 | consumed samples:       990208 | elapsed time per iteration (ms): 40388.2 | learning rate: 9.670E-05 | global batch size:  1024 | lm loss: 2.842837E+00 | loss scale: 1.0 | grad norm: 0.390 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      968/   51900 | consumed samples:       991232 | elapsed time per iteration (ms): 40370.7 | learning rate: 9.680E-05 | global batch size:  1024 | lm loss: 2.853801E+00 | loss scale: 1.0 | grad norm: 0.452 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      969/   51900 | consumed samples:       992256 | elapsed time per iteration (ms): 40378.6 | learning rate: 9.690E-05 | global batch size:  1024 | lm loss: 2.857212E+00 | loss scale: 1.0 | grad norm: 0.530 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      970/   51900 | consumed samples:       993280 | elapsed time per iteration (ms): 40381.5 | learning rate: 9.700E-05 | global batch size:  1024 | lm loss: 2.862500E+00 | loss scale: 1.0 | grad norm: 0.465 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      971/   51900 | consumed samples:       994304 | elapsed time per iteration (ms): 40380.0 | learning rate: 9.710E-05 | global batch size:  1024 | lm loss: 2.868578E+00 | loss scale: 1.0 | grad norm: 0.584 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      972/   51900 | consumed samples:       995328 | elapsed time per iteration (ms): 40369.5 | learning rate: 9.720E-05 | global batch size:  1024 | lm loss: 2.855431E+00 | loss scale: 1.0 | grad norm: 0.606 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      973/   51900 | consumed samples:       996352 | elapsed time per iteration (ms): 40368.4 | learning rate: 9.730E-05 | global batch size:  1024 | lm loss: 2.853521E+00 | loss scale: 1.0 | grad norm: 0.631 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      974/   51900 | consumed samples:       997376 | elapsed time per iteration (ms): 40366.2 | learning rate: 9.740E-05 | global batch size:  1024 | lm loss: 2.856258E+00 | loss scale: 1.0 | grad norm: 0.526 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      975/   51900 | consumed samples:       998400 | elapsed time per iteration (ms): 40371.4 | learning rate: 9.750E-05 | global batch size:  1024 | lm loss: 2.824176E+00 | loss scale: 1.0 | grad norm: 0.619 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      976/   51900 | consumed samples:       999424 | elapsed time per iteration (ms): 40388.9 | learning rate: 9.760E-05 | global batch size:  1024 | lm loss: 2.841993E+00 | loss scale: 1.0 | grad norm: 0.508 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      977/   51900 | consumed samples:      1000448 | elapsed time per iteration (ms): 40369.0 | learning rate: 9.770E-05 | global batch size:  1024 | lm loss: 2.853655E+00 | loss scale: 1.0 | grad norm: 0.453 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      978/   51900 | consumed samples:      1001472 | elapsed time per iteration (ms): 40389.6 | learning rate: 9.780E-05 | global batch size:  1024 | lm loss: 2.841913E+00 | loss scale: 1.0 | grad norm: 0.660 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      979/   51900 | consumed samples:      1002496 | elapsed time per iteration (ms): 40395.6 | learning rate: 9.790E-05 | global batch size:  1024 | lm loss: 2.834660E+00 | loss scale: 1.0 | grad norm: 0.685 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      980/   51900 | consumed samples:      1003520 | elapsed time per iteration (ms): 40389.5 | learning rate: 9.800E-05 | global batch size:  1024 | lm loss: 2.884738E+00 | loss scale: 1.0 | grad norm: 0.692 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      981/   51900 | consumed samples:      1004544 | elapsed time per iteration (ms): 40374.8 | learning rate: 9.810E-05 | global batch size:  1024 | lm loss: 2.860316E+00 | loss scale: 1.0 | grad norm: 0.723 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      982/   51900 | consumed samples:      1005568 | elapsed time per iteration (ms): 40371.0 | learning rate: 9.820E-05 | global batch size:  1024 | lm loss: 2.832780E+00 | loss scale: 1.0 | grad norm: 0.664 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      983/   51900 | consumed samples:      1006592 | elapsed time per iteration (ms): 40394.1 | learning rate: 9.830E-05 | global batch size:  1024 | lm loss: 2.866590E+00 | loss scale: 1.0 | grad norm: 0.773 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      984/   51900 | consumed samples:      1007616 | elapsed time per iteration (ms): 40396.1 | learning rate: 9.840E-05 | global batch size:  1024 | lm loss: 2.873370E+00 | loss scale: 1.0 | grad norm: 0.918 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      985/   51900 | consumed samples:      1008640 | elapsed time per iteration (ms): 40391.7 | learning rate: 9.850E-05 | global batch size:  1024 | lm loss: 2.878965E+00 | loss scale: 1.0 | grad norm: 1.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      986/   51900 | consumed samples:      1009664 | elapsed time per iteration (ms): 40377.2 | learning rate: 9.860E-05 | global batch size:  1024 | lm loss: 2.864136E+00 | loss scale: 1.0 | grad norm: 0.796 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      987/   51900 | consumed samples:      1010688 | elapsed time per iteration (ms): 40407.2 | learning rate: 9.870E-05 | global batch size:  1024 | lm loss: 2.865146E+00 | loss scale: 1.0 | grad norm: 0.827 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      988/   51900 | consumed samples:      1011712 | elapsed time per iteration (ms): 40387.4 | learning rate: 9.880E-05 | global batch size:  1024 | lm loss: 2.857278E+00 | loss scale: 1.0 | grad norm: 0.731 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      989/   51900 | consumed samples:      1012736 | elapsed time per iteration (ms): 40386.2 | learning rate: 9.890E-05 | global batch size:  1024 | lm loss: 2.854461E+00 | loss scale: 1.0 | grad norm: 0.918 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      990/   51900 | consumed samples:      1013760 | elapsed time per iteration (ms): 40383.7 | learning rate: 9.900E-05 | global batch size:  1024 | lm loss: 2.884712E+00 | loss scale: 1.0 | grad norm: 0.757 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      991/   51900 | consumed samples:      1014784 | elapsed time per iteration (ms): 40375.8 | learning rate: 9.910E-05 | global batch size:  1024 | lm loss: 2.857085E+00 | loss scale: 1.0 | grad norm: 0.639 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      992/   51900 | consumed samples:      1015808 | elapsed time per iteration (ms): 40386.1 | learning rate: 9.920E-05 | global batch size:  1024 | lm loss: 2.857472E+00 | loss scale: 1.0 | grad norm: 0.511 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      993/   51900 | consumed samples:      1016832 | elapsed time per iteration (ms): 40393.9 | learning rate: 9.930E-05 | global batch size:  1024 | lm loss: 2.875634E+00 | loss scale: 1.0 | grad norm: 0.493 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      994/   51900 | consumed samples:      1017856 | elapsed time per iteration (ms): 40375.4 | learning rate: 9.940E-05 | global batch size:  1024 | lm loss: 2.846714E+00 | loss scale: 1.0 | grad norm: 0.546 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      995/   51900 | consumed samples:      1018880 | elapsed time per iteration (ms): 40390.1 | learning rate: 9.950E-05 | global batch size:  1024 | lm loss: 2.828885E+00 | loss scale: 1.0 | grad norm: 0.548 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      996/   51900 | consumed samples:      1019904 | elapsed time per iteration (ms): 40362.3 | learning rate: 9.960E-05 | global batch size:  1024 | lm loss: 2.823318E+00 | loss scale: 1.0 | grad norm: 0.443 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      997/   51900 | consumed samples:      1020928 | elapsed time per iteration (ms): 40385.3 | learning rate: 9.970E-05 | global batch size:  1024 | lm loss: 2.819153E+00 | loss scale: 1.0 | grad norm: 0.393 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      998/   51900 | consumed samples:      1021952 | elapsed time per iteration (ms): 40387.3 | learning rate: 9.980E-05 | global batch size:  1024 | lm loss: 2.851327E+00 | loss scale: 1.0 | grad norm: 0.445 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      999/   51900 | consumed samples:      1022976 | elapsed time per iteration (ms): 40408.0 | learning rate: 9.990E-05 | global batch size:  1024 | lm loss: 2.834856E+00 | loss scale: 1.0 | grad norm: 0.444 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1000/   51900 | consumed samples:      1024000 | elapsed time per iteration (ms): 40368.7 | learning rate: 1.000E-04 | global batch size:  1024 | lm loss: 2.841711E+00 | loss scale: 1.0 | grad norm: 0.643 | number of skipped iterations:   0 | number of nan iterations:   0 |
(min, max) time across ranks (ms):
    save-checkpoint ................................: (107174.64, 107174.70)
 iteration     1001/   51900 | consumed samples:      1025024 | elapsed time per iteration (ms): 40061.5 | learning rate: 1.001E-04 | global batch size:  1024 | lm loss: 2.866057E+00 | loss scale: 1.0 | grad norm: 4.876 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1002/   51900 | consumed samples:      1026048 | elapsed time per iteration (ms): 40336.2 | learning rate: 1.002E-04 | global batch size:  1024 | lm loss: 2.870112E+00 | loss scale: 1.0 | grad norm: 1.229 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1003/   51900 | consumed samples:      1027072 | elapsed time per iteration (ms): 40348.0 | learning rate: 1.003E-04 | global batch size:  1024 | lm loss: 2.868719E+00 | loss scale: 1.0 | grad norm: 0.780 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1004/   51900 | consumed samples:      1028096 | elapsed time per iteration (ms): 40370.3 | learning rate: 1.004E-04 | global batch size:  1024 | lm loss: 2.871414E+00 | loss scale: 1.0 | grad norm: 1.630 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1005/   51900 | consumed samples:      1029120 | elapsed time per iteration (ms): 40376.3 | learning rate: 1.005E-04 | global batch size:  1024 | lm loss: 3.227337E+00 | loss scale: 1.0 | grad norm: 12.674 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1006/   51900 | consumed samples:      1030144 | elapsed time per iteration (ms): 40368.4 | learning rate: 1.006E-04 | global batch size:  1024 | lm loss: 3.023283E+00 | loss scale: 1.0 | grad norm: 4.526 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1007/   51900 | consumed samples:      1031168 | elapsed time per iteration (ms): 40371.9 | learning rate: 1.007E-04 | global batch size:  1024 | lm loss: 3.234514E+00 | loss scale: 1.0 | grad norm: 9.458 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1008/   51900 | consumed samples:      1032192 | elapsed time per iteration (ms): 40375.0 | learning rate: 1.008E-04 | global batch size:  1024 | lm loss: 3.066508E+00 | loss scale: 1.0 | grad norm: 6.309 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1009/   51900 | consumed samples:      1033216 | elapsed time per iteration (ms): 40368.1 | learning rate: 1.009E-04 | global batch size:  1024 | lm loss: 3.125892E+00 | loss scale: 1.0 | grad norm: 7.440 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1010/   51900 | consumed samples:      1034240 | elapsed time per iteration (ms): 40377.8 | learning rate: 1.010E-04 | global batch size:  1024 | lm loss: 3.235998E+00 | loss scale: 1.0 | grad norm: 7.318 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1011/   51900 | consumed samples:      1035264 | elapsed time per iteration (ms): 40414.9 | learning rate: 1.011E-04 | global batch size:  1024 | lm loss: 3.141426E+00 | loss scale: 1.0 | grad norm: 14.240 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1012/   51900 | consumed samples:      1036288 | elapsed time per iteration (ms): 40364.2 | learning rate: 1.012E-04 | global batch size:  1024 | lm loss: 3.104707E+00 | loss scale: 1.0 | grad norm: 5.812 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1013/   51900 | consumed samples:      1037312 | elapsed time per iteration (ms): 40370.7 | learning rate: 1.013E-04 | global batch size:  1024 | lm loss: 3.112506E+00 | loss scale: 1.0 | grad norm: 4.363 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1014/   51900 | consumed samples:      1038336 | elapsed time per iteration (ms): 40369.0 | learning rate: 1.014E-04 | global batch size:  1024 | lm loss: 3.059462E+00 | loss scale: 1.0 | grad norm: 2.285 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1015/   51900 | consumed samples:      1039360 | elapsed time per iteration (ms): 40366.7 | learning rate: 1.015E-04 | global batch size:  1024 | lm loss: 3.258474E+00 | loss scale: 1.0 | grad norm: 8.302 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1016/   51900 | consumed samples:      1040384 | elapsed time per iteration (ms): 40378.7 | learning rate: 1.016E-04 | global batch size:  1024 | lm loss: 3.096681E+00 | loss scale: 1.0 | grad norm: 3.743 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1017/   51900 | consumed samples:      1041408 | elapsed time per iteration (ms): 40378.4 | learning rate: 1.017E-04 | global batch size:  1024 | lm loss: 3.089806E+00 | loss scale: 1.0 | grad norm: 2.542 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1018/   51900 | consumed samples:      1042432 | elapsed time per iteration (ms): 40395.9 | learning rate: 1.018E-04 | global batch size:  1024 | lm loss: 3.041772E+00 | loss scale: 1.0 | grad norm: 2.837 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1019/   51900 | consumed samples:      1043456 | elapsed time per iteration (ms): 40375.4 | learning rate: 1.019E-04 | global batch size:  1024 | lm loss: 3.047850E+00 | loss scale: 1.0 | grad norm: 2.102 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1020/   51900 | consumed samples:      1044480 | elapsed time per iteration (ms): 40387.5 | learning rate: 1.020E-04 | global batch size:  1024 | lm loss: 3.010309E+00 | loss scale: 1.0 | grad norm: 1.599 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1021/   51900 | consumed samples:      1045504 | elapsed time per iteration (ms): 40379.5 | learning rate: 1.021E-04 | global batch size:  1024 | lm loss: 2.981055E+00 | loss scale: 1.0 | grad norm: 1.266 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1022/   51900 | consumed samples:      1046528 | elapsed time per iteration (ms): 40373.5 | learning rate: 1.022E-04 | global batch size:  1024 | lm loss: 2.982295E+00 | loss scale: 1.0 | grad norm: 2.186 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1023/   51900 | consumed samples:      1047552 | elapsed time per iteration (ms): 40375.1 | learning rate: 1.023E-04 | global batch size:  1024 | lm loss: 2.971156E+00 | loss scale: 1.0 | grad norm: 1.487 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1024/   51900 | consumed samples:      1048576 | elapsed time per iteration (ms): 40382.8 | learning rate: 1.024E-04 | global batch size:  1024 | lm loss: 2.975158E+00 | loss scale: 1.0 | grad norm: 1.415 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1025/   51900 | consumed samples:      1049600 | elapsed time per iteration (ms): 40379.7 | learning rate: 1.025E-04 | global batch size:  1024 | lm loss: 2.956707E+00 | loss scale: 1.0 | grad norm: 1.341 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1026/   51900 | consumed samples:      1050624 | elapsed time per iteration (ms): 40369.8 | learning rate: 1.026E-04 | global batch size:  1024 | lm loss: 2.931362E+00 | loss scale: 1.0 | grad norm: 0.905 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1027/   51900 | consumed samples:      1051648 | elapsed time per iteration (ms): 40367.1 | learning rate: 1.027E-04 | global batch size:  1024 | lm loss: 2.903661E+00 | loss scale: 1.0 | grad norm: 1.013 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1028/   51900 | consumed samples:      1052672 | elapsed time per iteration (ms): 40369.4 | learning rate: 1.028E-04 | global batch size:  1024 | lm loss: 2.916415E+00 | loss scale: 1.0 | grad norm: 0.886 | number of skipped iterations:   0 | number of nan iterations:   0 |
